" Nom Ville ";"MAJ   ";" Code Postal ";" Code INSEE ";"Code Région";" Latitude ";" Longitude ";" Eloignement "
"Giroussens";"GIROUSSENS";81500;81104;11;"43.766667";"1.783333";"0"
"Giroux";"GIROUX";36150;36083;24;"47.066667";"1.9";"0"
"Girovillers-sous-Montfort";"GIROVILLERS SOUS MONTFORT";88800;88207;11;"48.25";"6.016667";"0"
"Giry";"GIRY";58700;58127;26;"47.216667";"3.366667";"0"
"Giscaro";"GISCARO";32200;32148;91;"43.616667";"0.916667";"0"
"Giscos";"GISCOS";33840;33188;72;"44.283333";"-0.166667";"0"
"Gisors";"GISORS";27140;27284;23;"49.283333";"1.783333";"0"
"Gissac";"GISSAC";12360;12109;73;"43.85";"2.933333";"0"
"Gissey-le-Vieil";"GISSEY LE VIEIL";21350;21298;26;"47.316667";"4.483333";"0"
"Gissey-sous-Flavigny";"GISSEY SOUS FLAVIGNY";21150;21299;26;"47.516667";"4.583333";"0"
"Gissey-sur-Ouche";"GISSEY SUR OUCHE";21410;21300;26;"47.266667";"4.766667";"0"
"Gisy-les-Nobles";"GISY LES NOBLES";89140;89189;11;"48.283333";"3.25";"0"
"Giuncaggio";"GIUNCAGGIO";20251;20126;94;"42.216667";"9.366667";"0"
"Giuncheto";"GIUNCHETO";20100;20127;94;"41.583333";"8.966667";"0"
"Givardon";"GIVARDON";18600;18102;24;"46.833333";"2.816667";"0"
"Givarlais";"GIVARLAIS";3190;3123;83;"46.45";"2.65";"0"
"Givenchy-en-Gohelle";"GIVENCHY EN GOHELLE";62580;62371;31;"50.383333";"2.766667";"0"
"Givenchy-le-Noble";"GIVENCHY LE NOBLE";62810;62372;31;"50.3";"2.5";"0"
"Giverny";"GIVERNY";27620;27285;23;"49.066667";"1.533333";"0"
"Giverville";"GIVERVILLE";27560;27286;23;"49.2";"0.566667";"0"
"Givet";"GIVET";8600;8190;21;"50.133333";"4.816667";"0"
"Givonne";"GIVONNE";8200;8191;21;"49.716667";"4.983333";"0"
"Givors";"GIVORS";69700;69091;82;"45.583333";"4.766667";"0"
"Givraines";"GIVRAINES";45300;45157;24;"48.15";"2.366667";"0"
"Givrand";"GIVRAND";85800;85100;11;"46.666667";"-1.9";"0"
"Givrauval";"GIVRAUVAL";55500;55214;41;"48.666667";"5.316667";"0"
"Givrezac";"GIVREZAC";17260;17178;54;"45.55";"-0.633333";"0"
"Givron";"GIVRON";8220;8192;21;"49.65";"4.283333";"0"
"Givry";"GIVRY";89200;89190;11;"47.516667";"3.8";"0"
"Givry";"GIVRY";8130;8193;21;"49.483333";"4.533333";"0"
"Givry-en-Argonne";"GIVRY EN ARGONNE";51330;51272;21;"48.95";"4.883333";"0"
"Givry-lès-Loisy";"GIVRY LES LOISY";51130;51273;21;"48.891667";"3.908333";"0"
